,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kaeo,41,NZ,2019-06-27,95,-35.1,173.78,48.99,5.01
1,Pilibanga,0,IN,2019-06-27,33,29.49,74.08,95.81,12.68
2,Shawinigan,1,CA,2019-06-27,69,46.54,-72.75,75.99,10.29
3,Jamestown,0,AU,2019-06-27,70,-33.21,138.6,55.13,11.61
4,Hithadhoo,100,MV,2019-06-27,70,-0.6,73.08,83.57,5.32
5,Butaritari,2,KI,2019-06-27,73,3.07,172.79,83.57,12.46
6,Yellowknife,20,CA,2019-06-27,25,62.45,-114.38,59.0,9.17
7,Vaini,100,IN,2019-06-27,90,15.34,74.49,78.17,6.29
8,Port Alfred,0,ZA,2019-06-27,46,-33.59,26.89,63.0,5.99
9,Boma,97,GH,2019-06-27,98,7.08,-2.17,71.69,3.87
10,Tuatapere,33,NZ,2019-06-27,92,-46.13,167.69,39.0,4.0
11,Torbay,75,CA,2019-06-27,67,47.66,-52.73,56.43,4.7
12,Kapaa,40,US,2019-06-27,83,22.08,-159.32,81.19,14.99
13,Fort Saint James,78,CA,2019-06-27,42,54.43,-124.25,68.27,11.77
14,Poum,20,MK,2019-06-27,77,41.28,20.71,62.6,5.82
15,Atuona,0,PF,2019-06-27,74,-9.8,-139.03,80.69,14.45
16,Ust-Maya,12,RU,2019-06-27,55,60.42,134.54,63.95,6.29
17,Ketchikan,1,US,2019-06-27,60,55.34,-131.65,68.59,6.93
18,Saint-Philippe,20,CA,2019-06-27,51,45.36,-73.48,83.26,13.87
19,Hirara,4,JP,2019-06-27,82,24.8,125.28,83.57,15.79
20,Tutoia,20,BR,2019-06-27,59,-2.76,-42.27,91.4,11.41
21,Mataura,2,NZ,2019-06-27,92,-46.19,168.86,39.0,4.0
22,New Norfolk,0,AU,2019-06-27,61,-42.78,147.06,50.54,3.36
23,Gannan,100,CN,2019-06-27,81,47.92,123.49,54.41,12.86
24,Aklavik,40,CA,2019-06-27,47,68.22,-135.01,55.4,3.36
25,Saskylakh,100,RU,2019-06-27,39,71.97,114.09,56.21,9.08
26,Cidreira,0,BR,2019-06-27,85,-30.17,-50.22,58.55,10.27
27,Albany,40,US,2019-06-27,35,42.65,-73.75,82.49,12.75
28,Khasan,100,RU,2019-06-27,96,42.43,130.64,57.83,5.21
29,Prince Albert,75,CA,2019-06-27,53,53.2,-105.75,71.6,3.36
30,Kruisfontein,0,ZA,2019-06-27,18,-34.0,24.73,57.83,11.27
31,Ushuaia,75,AR,2019-06-27,96,-54.81,-68.31,29.95,24.16
32,Cabo San Lucas,40,MX,2019-06-27,46,22.89,-109.91,88.16,11.41
33,Barrow,100,AR,2019-06-27,53,-38.31,-60.23,50.45,19.71
34,Fukue,75,JP,2019-06-27,94,35.03,136.69,73.87,10.29
35,San Quintin,100,PH,2019-06-27,97,17.54,120.52,75.11,4.18
36,Pevek,100,RU,2019-06-27,97,69.7,170.27,32.45,22.75
37,Massaguet,0,TD,2019-06-27,45,12.48,15.44,87.35,1.74
38,Saldanha,0,PT,2019-06-27,68,41.42,-6.55,68.99,4.63
39,Busselton,13,AU,2019-06-27,98,-33.64,115.35,41.27,24.76
40,Gidam,99,IN,2019-06-27,88,18.98,81.4,79.07,1.54
41,Rikitea,100,PF,2019-06-27,82,-23.12,-134.97,75.11,17.27
42,Chapais,90,CA,2019-06-27,87,49.78,-74.86,60.8,5.82
43,Victoria,75,BN,2019-06-27,78,5.28,115.24,78.64,3.36
44,Punta Arenas,20,CL,2019-06-27,72,-53.16,-70.91,30.76,9.17
45,Bluff,89,AU,2019-06-27,84,-23.58,149.07,57.65,16.87
46,Iqaluit,20,CA,2019-06-27,66,63.75,-68.52,51.42,9.17
47,Avera,40,US,2019-06-27,46,33.19,-82.53,91.27,4.7
48,Kudahuvadhoo,9,MV,2019-06-27,70,2.67,72.89,82.85,4.56
49,Kahului,20,US,2019-06-27,66,20.89,-156.47,83.57,9.17
50,Lorengau,77,PG,2019-06-27,82,-2.02,147.27,79.97,6.87
51,Castro,90,CL,2019-06-27,80,-42.48,-73.76,41.0,9.17
52,Pisco,75,PE,2019-06-27,30,-13.71,-76.2,68.36,9.17
53,Sitka,0,US,2019-06-27,48,37.17,-99.65,93.0,18.99
54,Salalah,75,OM,2019-06-27,88,17.01,54.1,82.4,10.29
55,Goderich,0,CA,2019-06-27,72,43.74,-81.71,80.11,1.01
56,Alekseyevsk,0,RU,2019-06-27,67,57.84,108.35,58.01,6.35
57,Ipixuna,40,BR,2019-06-27,55,-1.76,-48.8,89.6,10.29
58,Meadow Lake,75,CA,2019-06-27,56,54.13,-108.44,69.8,3.36
59,Vanavara,4,RU,2019-06-27,68,60.35,102.28,59.63,3.09
60,Geraldton,40,CA,2019-06-27,41,49.72,-86.95,75.2,14.99
61,Mar del Plata,4,AR,2019-06-27,41,-46.43,-67.52,33.17,9.28
62,Tuktoyaktuk,75,CA,2019-06-27,81,69.44,-133.03,42.8,4.7
63,Cadiz,40,US,2019-06-27,48,40.27,-81.0,84.99,8.05
64,Provideniya,90,RU,2019-06-27,87,64.42,-173.23,48.2,8.95
65,Baltiysk,40,RU,2019-06-27,67,54.66,19.91,60.8,15.66
66,Berlevag,40,NO,2019-06-27,65,70.86,29.09,42.73,25.28
67,Huangzhai,74,CN,2019-06-27,97,23.86,112.01,76.73,1.72
68,Pacific Grove,1,US,2019-06-27,63,36.62,-121.92,70.32,13.87
69,Vaitape,82,PF,2019-06-27,77,-16.52,-151.75,79.07,6.51
70,Sorong,95,ID,2019-06-27,91,-0.86,131.25,75.83,8.9
71,Bozhou,87,CN,2019-06-27,58,33.86,115.78,79.61,2.66
72,Nouakchott,0,MR,2019-06-27,61,18.08,-15.98,80.6,18.34
73,Parambu,100,BR,2019-06-27,67,-6.21,-40.7,73.67,4.68
74,Luderitz,0,NA,2019-06-27,87,-26.65,15.16,51.8,4.7
75,Zarate,94,MX,2019-06-27,58,18.92,-101.44,82.49,3.36
76,Sao Joao da Barra,0,BR,2019-06-27,65,-21.64,-41.05,80.49,11.41
77,Martapura,32,ID,2019-06-27,87,-3.41,114.85,76.01,9.71
78,Vigrestad,0,NO,2019-06-27,76,58.57,5.7,54.07,16.11
79,Qaanaaq,41,GL,2019-06-27,48,77.48,-69.36,43.97,2.89
80,Severobaykalsk,37,RU,2019-06-27,72,55.65,109.32,50.99,2.91
81,Mayumba,0,GA,2019-06-27,81,-3.44,10.65,73.85,14.72
82,Hobart,0,AU,2019-06-27,61,-42.88,147.33,50.52,3.36
83,Hounde,94,BF,2019-06-27,44,11.5,-3.52,87.17,9.84
84,Carnarvon,0,ZA,2019-06-27,22,-30.97,22.13,52.07,18.7
85,Lloydminster,75,CA,2019-06-27,60,53.28,-110.01,71.6,9.17
86,Tucupita,3,VE,2019-06-27,57,9.06,-62.05,86.99,9.73
87,Puerto Ayora,20,EC,2019-06-27,69,-0.74,-90.35,76.33,21.92
88,Rome,0,IT,2019-06-27,39,41.89,12.48,80.67,2.24
89,Tabasalu,0,EE,2019-06-27,67,59.43,24.54,58.73,8.05
90,Shishou,95,CN,2019-06-27,95,29.72,112.42,77.63,4.94
91,Tiksi,87,RU,2019-06-27,80,71.64,128.87,43.97,11.39
92,Vardo,75,US,2019-06-27,36,39.62,-77.74,89.55,4.07
93,Hami,0,CN,2019-06-27,18,42.84,93.51,75.47,18.5
94,Anadyr,20,RU,2019-06-27,76,64.73,177.51,50.0,15.66
95,Hofn,75,IS,2019-06-27,87,64.25,-15.21,55.4,5.82
96,Faanui,82,PF,2019-06-27,77,-16.48,-151.75,79.07,6.51
97,Angoche,0,MZ,2019-06-27,95,-16.23,39.91,64.49,4.63
98,Cape Town,75,ZA,2019-06-27,76,-33.93,18.42,55.76,29.97
99,Nemuro,100,JP,2019-06-27,85,43.32,145.57,48.83,12.26
100,Yangambi,100,CD,2019-06-27,95,0.77,24.47,69.35,1.79
101,Les Escoumins,99,CA,2019-06-27,74,48.35,-69.4,67.19,4.65
102,Tsaratanana,60,MG,2019-06-27,80,-16.8,47.65,64.49,7.2
103,Chokurdakh,0,RU,2019-06-27,52,70.62,147.9,51.71,11.25
104,Turukhansk,89,RU,2019-06-27,94,65.8,87.96,50.45,7.0
105,Makuyuni,0,TZ,2019-06-27,97,-5.02,38.33,63.77,4.94
106,Payakumbuh,46,ID,2019-06-27,97,-0.23,100.63,66.47,2.95
107,Bethel,20,US,2019-06-27,59,60.79,-161.76,64.85,8.05
108,Bambanglipuro,86,ID,2019-06-27,77,-7.95,110.28,76.37,11.54
109,Varazdin,0,HR,2019-06-27,88,46.3,16.34,75.11,6.93
110,La Ronge,75,CA,2019-06-27,63,55.1,-105.3,64.4,4.7
111,Vikhorevka,40,RU,2019-06-27,93,56.12,101.17,57.09,2.24
112,Longyearbyen,75,NO,2019-06-27,69,78.22,15.63,37.4,14.99
113,Surany,0,SK,2019-06-27,40,48.09,18.18,71.26,8.05
114,Svetlogorsk,75,RU,2019-06-27,81,53.14,59.15,53.6,4.47
115,Adre,100,TD,2019-06-27,70,13.47,22.2,74.93,11.79
116,Chumphon,100,TH,2019-06-27,90,10.5,99.18,77.09,7.16
117,Necochea,100,AR,2019-06-27,74,-38.55,-58.74,48.99,8.99
118,Ambon,0,FR,2019-06-27,74,47.55,-2.56,83.97,10.29
119,San Patricio,25,PY,2019-06-27,86,-26.98,-56.83,64.13,5.7
120,Thompson,75,CA,2019-06-27,37,55.74,-97.86,68.0,3.36
121,Chicama,0,PE,2019-06-27,73,-7.84,-79.15,69.8,12.75
122,Haimen,69,CN,2019-06-27,92,31.87,121.18,74.8,6.38
123,Conceicao do Mato Dentro,5,BR,2019-06-27,86,-19.04,-43.42,63.41,2.64
124,Kodiak,40,US,2019-06-27,26,39.95,-94.76,89.38,13.87
125,Vestmannaeyjar,100,IS,2019-06-27,98,63.44,-20.27,52.61,16.35
126,Sovetskiy,0,RU,2019-06-27,89,56.76,48.47,45.23,6.33
127,Naze,94,NG,2019-06-27,97,5.43,7.07,72.59,4.27
128,Ponta do Sol,19,BR,2019-06-27,65,-20.63,-46.0,68.09,6.93
129,Morehead,1,US,2019-06-27,52,38.18,-83.43,88.29,4.7
130,Tsiroanomandidy,70,MG,2019-06-27,70,-18.77,46.05,65.93,1.05
131,Tasiilaq,90,GL,2019-06-27,93,65.61,-37.64,44.6,1.12
132,Fare,69,PF,2019-06-27,82,-16.7,-151.02,77.99,14.23
133,Husavik,80,CA,2019-06-27,30,50.56,-96.99,82.0,5.03
134,Cherskiy,100,RU,2019-06-27,74,68.75,161.3,47.39,14.56
135,Araguaina,1,BR,2019-06-27,52,-7.19,-48.21,81.77,3.4
136,Georgetown,75,GY,2019-06-27,88,6.8,-58.16,78.8,4.7
137,Port Hardy,90,CA,2019-06-27,87,50.7,-127.42,55.4,10.29
138,Hilo,90,US,2019-06-27,88,19.71,-155.08,74.93,5.82
139,Hermanus,67,ZA,2019-06-27,66,-34.42,19.24,56.17,20.0
140,Alofi,6,NU,2019-06-27,83,-19.06,-169.92,73.4,10.29
141,College,90,US,2019-06-27,52,64.86,-147.8,67.23,2.37
142,Ngudu,100,TZ,2019-06-27,65,-2.97,33.34,69.89,1.99
143,Mandalgovi,100,MN,2019-06-27,75,45.76,106.27,49.91,20.31
144,Port Elizabeth,1,US,2019-06-27,29,39.31,-74.98,90.07,4.7
145,Nanzhang,87,CN,2019-06-27,96,31.78,111.84,70.97,2.26
146,Ostrovnoy,100,RU,2019-06-27,97,68.05,39.51,40.55,19.69
147,Jupiter,75,US,2019-06-27,55,26.93,-80.09,89.31,12.75
148,Vostok,100,RU,2019-06-27,98,46.45,135.83,49.37,4.65
149,Belyy Yar,0,RU,2019-06-27,93,53.6,91.39,59.0,2.24
150,Eureka,1,US,2019-06-27,72,40.8,-124.16,64.35,8.05
151,Rovaniemi,0,FI,2019-06-27,43,66.5,25.72,51.8,6.93
152,Tura,60,RU,2019-06-27,71,64.27,100.22,66.11,4.97
153,Jilemnice,9,CZ,2019-06-27,52,50.61,15.51,63.86,4.97
154,Waingapu,0,ID,2019-06-27,87,-9.65,120.26,63.59,9.4
155,Norman Wells,75,CA,2019-06-27,39,65.28,-126.83,66.2,5.82
156,Vila Velha,0,BR,2019-06-27,62,-3.71,-38.6,81.82,14.99
157,Shenjiamen,51,CN,2019-06-27,92,29.96,122.3,73.85,11.25
158,Carutapera,52,BR,2019-06-27,84,-1.2,-46.02,79.07,8.81
159,Baruun-Urt,59,MN,2019-06-27,65,46.68,113.28,56.21,4.23
160,Luwuk,100,ID,2019-06-27,97,-0.95,122.79,64.49,4.72
161,Hualahuises,0,MX,2019-06-27,51,24.88,-99.67,78.89,7.38
162,Kaitangata,36,NZ,2019-06-27,76,-46.28,169.85,39.99,5.01
163,Mahon,0,IE,2019-06-27,59,51.89,-8.4,65.52,24.16
164,Navolato,5,MX,2019-06-27,19,24.76,-107.7,100.74,6.93
165,Bloomsburg,75,US,2019-06-27,43,41.0,-76.45,85.75,8.05
166,Cam Ranh,40,VN,2019-06-27,66,11.92,109.15,87.8,5.82
167,Bredasdorp,0,ZA,2019-06-27,50,-34.53,20.04,58.14,18.34
168,Saint George,0,GR,2019-06-27,42,39.45,22.34,76.8,2.04
169,Hobyo,72,SO,2019-06-27,74,5.35,48.53,76.91,27.07
170,Ribeira Grande,75,PT,2019-06-27,59,38.52,-28.7,66.2,11.41
